panel,year,feature,entity_count,observed_count,missing_count,support_rate
single_fullspan,2006,y_t,21,21,0,1.0
single_fullspan,2006,x_t,21,21,0,1.0
single_fullspan,2006,x_seq_rydgdp_ratio,21,0,21,0.0
single_fullspan,2007,y_t,21,21,0,1.0
single_fullspan,2007,x_t,21,21,0,1.0
single_fullspan,2007,x_seq_rydgdp_ratio,21,0,21,0.0
single_fullspan,2008,y_t,21,21,0,1.0
single_fullspan,2008,x_t,21,21,0,1.0
single_fullspan,2008,x_seq_rydgdp_ratio,21,0,21,0.0
single_fullspan,2009,y_t,21,21,0,1.0
single_fullspan,2009,x_t,21,21,0,1.0
single_fullspan,2009,x_seq_rydgdp_ratio,21,0,21,0.0
single_fullspan,2010,y_t,21,21,0,1.0
single_fullspan,2010,x_t,21,21,0,1.0
single_fullspan,2010,x_seq_rydgdp_ratio,21,0,21,0.0
single_fullspan,2011,y_t,21,21,0,1.0
single_fullspan,2011,x_t,21,21,0,1.0
single_fullspan,2011,x_seq_rydgdp_ratio,21,0,21,0.0
single_fullspan,2012,y_t,21,21,0,1.0
single_fullspan,2012,x_t,21,21,0,1.0
single_fullspan,2012,x_seq_rydgdp_ratio,21,0,21,0.0
single_fullspan,2013,y_t,21,21,0,1.0
single_fullspan,2013,x_t,21,21,0,1.0
single_fullspan,2013,x_seq_rydgdp_ratio,21,0,21,0.0
single_fullspan,2014,y_t,21,21,0,1.0
single_fullspan,2014,x_t,21,21,0,1.0
single_fullspan,2014,x_seq_rydgdp_ratio,21,0,21,0.0
single_fullspan,2015,y_t,21,21,0,1.0
single_fullspan,2015,x_t,21,21,0,1.0
single_fullspan,2015,x_seq_rydgdp_ratio,21,0,21,0.0
single_fullspan,2016,y_t,21,21,0,1.0
single_fullspan,2016,x_t,21,21,0,1.0
single_fullspan,2016,x_seq_rydgdp_ratio,21,0,21,0.0
single_fullspan,2017,y_t,21,21,0,1.0
single_fullspan,2017,x_t,21,21,0,1.0
single_fullspan,2017,x_seq_rydgdp_ratio,21,0,21,0.0
single_fullspan,2018,y_t,21,21,0,1.0
single_fullspan,2018,x_t,21,21,0,1.0
single_fullspan,2018,x_seq_rydgdp_ratio,21,0,21,0.0
single_fullspan,2019,y_t,21,21,0,1.0
single_fullspan,2019,x_t,21,21,0,1.0
single_fullspan,2019,x_seq_rydgdp_ratio,21,21,0,1.0
single_fullspan,2020,y_t,21,21,0,1.0
single_fullspan,2020,x_t,21,21,0,1.0
single_fullspan,2020,x_seq_rydgdp_ratio,21,21,0,1.0
single_fullspan,2021,y_t,21,21,0,1.0
single_fullspan,2021,x_t,21,21,0,1.0
single_fullspan,2021,x_seq_rydgdp_ratio,21,21,0,1.0
single_fullspan,2022,y_t,21,21,0,1.0
single_fullspan,2022,x_t,21,21,0,1.0
single_fullspan,2022,x_seq_rydgdp_ratio,21,21,0,1.0
single_fullspan,2023,y_t,21,21,0,1.0
single_fullspan,2023,x_t,21,21,0,1.0
single_fullspan,2023,x_seq_rydgdp_ratio,21,21,0,1.0
multiseq_fullspan,2006,y_t,21,21,0,1.0
multiseq_fullspan,2006,x_t,21,21,0,1.0
multiseq_fullspan,2006,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2006,x_seq_rydgdp_disposable_income,21,0,21,0.0
multiseq_fullspan,2006,x_seq_rydgdp_disposable_income_per_capita,21,0,21,0.0
multiseq_fullspan,2006,x_seq_rydgdp_grdp,21,0,21,0.0
multiseq_fullspan,2006,x_seq_rydgdp_grdp_per_capita,21,0,21,0.0
multiseq_fullspan,2006,x_seq_rydgdp_ratio,21,0,21,0.0
multiseq_fullspan,2007,y_t,21,21,0,1.0
multiseq_fullspan,2007,x_t,21,21,0,1.0
multiseq_fullspan,2007,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2007,x_seq_rydgdp_disposable_income,21,0,21,0.0
multiseq_fullspan,2007,x_seq_rydgdp_disposable_income_per_capita,21,0,21,0.0
multiseq_fullspan,2007,x_seq_rydgdp_grdp,21,0,21,0.0
multiseq_fullspan,2007,x_seq_rydgdp_grdp_per_capita,21,0,21,0.0
multiseq_fullspan,2007,x_seq_rydgdp_ratio,21,0,21,0.0
multiseq_fullspan,2008,y_t,21,21,0,1.0
multiseq_fullspan,2008,x_t,21,21,0,1.0
multiseq_fullspan,2008,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2008,x_seq_rydgdp_disposable_income,21,0,21,0.0
multiseq_fullspan,2008,x_seq_rydgdp_disposable_income_per_capita,21,0,21,0.0
multiseq_fullspan,2008,x_seq_rydgdp_grdp,21,0,21,0.0
multiseq_fullspan,2008,x_seq_rydgdp_grdp_per_capita,21,0,21,0.0
multiseq_fullspan,2008,x_seq_rydgdp_ratio,21,0,21,0.0
multiseq_fullspan,2009,y_t,21,21,0,1.0
multiseq_fullspan,2009,x_t,21,21,0,1.0
multiseq_fullspan,2009,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2009,x_seq_rydgdp_disposable_income,21,0,21,0.0
multiseq_fullspan,2009,x_seq_rydgdp_disposable_income_per_capita,21,0,21,0.0
multiseq_fullspan,2009,x_seq_rydgdp_grdp,21,0,21,0.0
multiseq_fullspan,2009,x_seq_rydgdp_grdp_per_capita,21,0,21,0.0
multiseq_fullspan,2009,x_seq_rydgdp_ratio,21,0,21,0.0
multiseq_fullspan,2010,y_t,21,21,0,1.0
multiseq_fullspan,2010,x_t,21,21,0,1.0
multiseq_fullspan,2010,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2010,x_seq_rydgdp_disposable_income,21,0,21,0.0
multiseq_fullspan,2010,x_seq_rydgdp_disposable_income_per_capita,21,0,21,0.0
multiseq_fullspan,2010,x_seq_rydgdp_grdp,21,0,21,0.0
multiseq_fullspan,2010,x_seq_rydgdp_grdp_per_capita,21,0,21,0.0
multiseq_fullspan,2010,x_seq_rydgdp_ratio,21,0,21,0.0
multiseq_fullspan,2011,y_t,21,21,0,1.0
multiseq_fullspan,2011,x_t,21,21,0,1.0
multiseq_fullspan,2011,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2011,x_seq_rydgdp_disposable_income,21,0,21,0.0
multiseq_fullspan,2011,x_seq_rydgdp_disposable_income_per_capita,21,0,21,0.0
multiseq_fullspan,2011,x_seq_rydgdp_grdp,21,0,21,0.0
multiseq_fullspan,2011,x_seq_rydgdp_grdp_per_capita,21,0,21,0.0
multiseq_fullspan,2011,x_seq_rydgdp_ratio,21,0,21,0.0
multiseq_fullspan,2012,y_t,21,21,0,1.0
multiseq_fullspan,2012,x_t,21,21,0,1.0
multiseq_fullspan,2012,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2012,x_seq_rydgdp_disposable_income,21,0,21,0.0
multiseq_fullspan,2012,x_seq_rydgdp_disposable_income_per_capita,21,0,21,0.0
multiseq_fullspan,2012,x_seq_rydgdp_grdp,21,0,21,0.0
multiseq_fullspan,2012,x_seq_rydgdp_grdp_per_capita,21,0,21,0.0
multiseq_fullspan,2012,x_seq_rydgdp_ratio,21,0,21,0.0
multiseq_fullspan,2013,y_t,21,21,0,1.0
multiseq_fullspan,2013,x_t,21,21,0,1.0
multiseq_fullspan,2013,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2013,x_seq_rydgdp_disposable_income,21,0,21,0.0
multiseq_fullspan,2013,x_seq_rydgdp_disposable_income_per_capita,21,0,21,0.0
multiseq_fullspan,2013,x_seq_rydgdp_grdp,21,0,21,0.0
multiseq_fullspan,2013,x_seq_rydgdp_grdp_per_capita,21,0,21,0.0
multiseq_fullspan,2013,x_seq_rydgdp_ratio,21,0,21,0.0
multiseq_fullspan,2014,y_t,21,21,0,1.0
multiseq_fullspan,2014,x_t,21,21,0,1.0
multiseq_fullspan,2014,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2014,x_seq_rydgdp_disposable_income,21,0,21,0.0
multiseq_fullspan,2014,x_seq_rydgdp_disposable_income_per_capita,21,0,21,0.0
multiseq_fullspan,2014,x_seq_rydgdp_grdp,21,0,21,0.0
multiseq_fullspan,2014,x_seq_rydgdp_grdp_per_capita,21,0,21,0.0
multiseq_fullspan,2014,x_seq_rydgdp_ratio,21,0,21,0.0
multiseq_fullspan,2015,y_t,21,21,0,1.0
multiseq_fullspan,2015,x_t,21,21,0,1.0
multiseq_fullspan,2015,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2015,x_seq_rydgdp_disposable_income,21,0,21,0.0
multiseq_fullspan,2015,x_seq_rydgdp_disposable_income_per_capita,21,0,21,0.0
multiseq_fullspan,2015,x_seq_rydgdp_grdp,21,0,21,0.0
multiseq_fullspan,2015,x_seq_rydgdp_grdp_per_capita,21,0,21,0.0
multiseq_fullspan,2015,x_seq_rydgdp_ratio,21,0,21,0.0
multiseq_fullspan,2016,y_t,21,21,0,1.0
multiseq_fullspan,2016,x_t,21,21,0,1.0
multiseq_fullspan,2016,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2016,x_seq_rydgdp_disposable_income,21,0,21,0.0
multiseq_fullspan,2016,x_seq_rydgdp_disposable_income_per_capita,21,0,21,0.0
multiseq_fullspan,2016,x_seq_rydgdp_grdp,21,0,21,0.0
multiseq_fullspan,2016,x_seq_rydgdp_grdp_per_capita,21,0,21,0.0
multiseq_fullspan,2016,x_seq_rydgdp_ratio,21,0,21,0.0
multiseq_fullspan,2017,y_t,21,21,0,1.0
multiseq_fullspan,2017,x_t,21,21,0,1.0
multiseq_fullspan,2017,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2017,x_seq_rydgdp_disposable_income,21,0,21,0.0
multiseq_fullspan,2017,x_seq_rydgdp_disposable_income_per_capita,21,0,21,0.0
multiseq_fullspan,2017,x_seq_rydgdp_grdp,21,0,21,0.0
multiseq_fullspan,2017,x_seq_rydgdp_grdp_per_capita,21,0,21,0.0
multiseq_fullspan,2017,x_seq_rydgdp_ratio,21,0,21,0.0
multiseq_fullspan,2018,y_t,21,21,0,1.0
multiseq_fullspan,2018,x_t,21,21,0,1.0
multiseq_fullspan,2018,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2018,x_seq_rydgdp_disposable_income,21,0,21,0.0
multiseq_fullspan,2018,x_seq_rydgdp_disposable_income_per_capita,21,0,21,0.0
multiseq_fullspan,2018,x_seq_rydgdp_grdp,21,0,21,0.0
multiseq_fullspan,2018,x_seq_rydgdp_grdp_per_capita,21,0,21,0.0
multiseq_fullspan,2018,x_seq_rydgdp_ratio,21,0,21,0.0
multiseq_fullspan,2019,y_t,21,21,0,1.0
multiseq_fullspan,2019,x_t,21,21,0,1.0
multiseq_fullspan,2019,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2019,x_seq_rydgdp_disposable_income,21,21,0,1.0
multiseq_fullspan,2019,x_seq_rydgdp_disposable_income_per_capita,21,21,0,1.0
multiseq_fullspan,2019,x_seq_rydgdp_grdp,21,21,0,1.0
multiseq_fullspan,2019,x_seq_rydgdp_grdp_per_capita,21,21,0,1.0
multiseq_fullspan,2019,x_seq_rydgdp_ratio,21,21,0,1.0
multiseq_fullspan,2020,y_t,21,21,0,1.0
multiseq_fullspan,2020,x_t,21,21,0,1.0
multiseq_fullspan,2020,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2020,x_seq_rydgdp_disposable_income,21,21,0,1.0
multiseq_fullspan,2020,x_seq_rydgdp_disposable_income_per_capita,21,21,0,1.0
multiseq_fullspan,2020,x_seq_rydgdp_grdp,21,21,0,1.0
multiseq_fullspan,2020,x_seq_rydgdp_grdp_per_capita,21,21,0,1.0
multiseq_fullspan,2020,x_seq_rydgdp_ratio,21,21,0,1.0
multiseq_fullspan,2021,y_t,21,21,0,1.0
multiseq_fullspan,2021,x_t,21,21,0,1.0
multiseq_fullspan,2021,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2021,x_seq_rydgdp_disposable_income,21,21,0,1.0
multiseq_fullspan,2021,x_seq_rydgdp_disposable_income_per_capita,21,21,0,1.0
multiseq_fullspan,2021,x_seq_rydgdp_grdp,21,21,0,1.0
multiseq_fullspan,2021,x_seq_rydgdp_grdp_per_capita,21,21,0,1.0
multiseq_fullspan,2021,x_seq_rydgdp_ratio,21,21,0,1.0
multiseq_fullspan,2022,y_t,21,21,0,1.0
multiseq_fullspan,2022,x_t,21,21,0,1.0
multiseq_fullspan,2022,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2022,x_seq_rydgdp_disposable_income,21,21,0,1.0
multiseq_fullspan,2022,x_seq_rydgdp_disposable_income_per_capita,21,21,0,1.0
multiseq_fullspan,2022,x_seq_rydgdp_grdp,21,21,0,1.0
multiseq_fullspan,2022,x_seq_rydgdp_grdp_per_capita,21,21,0,1.0
multiseq_fullspan,2022,x_seq_rydgdp_ratio,21,21,0,1.0
multiseq_fullspan,2023,y_t,21,21,0,1.0
multiseq_fullspan,2023,x_t,21,21,0,1.0
multiseq_fullspan,2023,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_fullspan,2023,x_seq_rydgdp_disposable_income,21,21,0,1.0
multiseq_fullspan,2023,x_seq_rydgdp_disposable_income_per_capita,21,21,0,1.0
multiseq_fullspan,2023,x_seq_rydgdp_grdp,21,21,0,1.0
multiseq_fullspan,2023,x_seq_rydgdp_grdp_per_capita,21,21,0,1.0
multiseq_fullspan,2023,x_seq_rydgdp_ratio,21,21,0,1.0
multiseq_overlap,2019,y_t,21,21,0,1.0
multiseq_overlap,2019,x_t,21,21,0,1.0
multiseq_overlap,2019,x_seq_rpcyd_total_income,21,21,0,1.0
multiseq_overlap,2019,x_seq_rydgdp_disposable_income,21,21,0,1.0
multiseq_overlap,2019,x_seq_rydgdp_disposable_income_per_capita,21,21,0,1.0
multiseq_overlap,2019,x_seq_rydgdp_grdp,21,21,0,1.0
multiseq_overlap,2019,x_seq_rydgdp_grdp_per_capita,21,21,0,1.0
multiseq_overlap,2019,x_seq_rydgdp_ratio,21,21,0,1.0
multiseq_overlap,2020,y_t,21,21,0,1.0
