display_name,family,variant,seed,experiment,target_column,feature_bundle,anchor_proxy_name,anchor_expected_sign,proxy_index,proxy_name,expected_sign,rho,p_value,adjusted_rho,metric_valid
CMDL,cmdl,,0,multiseed_economics_cmdl_seed0,ctfp,effective_labor_aware,proxy_effective_labor_anchor,-1.0,1,effective_labor_anchor,-1.0,0.15897643619456875,0.13902434130111596,-0.15897643619456875,True
CMDL,cmdl,,0,multiseed_economics_cmdl_seed0,ctfp,effective_labor_aware,proxy_effective_labor_anchor,-1.0,2,employment_level,-1.0,0.13985065689831286,0.1937538162374731,-0.13985065689831286,True
CMDL,cmdl,,0,multiseed_economics_cmdl_seed0,ctfp,effective_labor_aware,proxy_effective_labor_anchor,-1.0,3,hc_level,-1.0,-0.8064175266809906,2.5273909837157118e-21,0.8064175266809906,True
CMDL,cmdl,,0,multiseed_economics_cmdl_seed0,ctfp,effective_labor_aware,proxy_effective_labor_anchor,-1.0,4,hc_trend,-1.0,-0.10080659363882921,0.35003992630400516,0.10080659363882921,True
CMDL,cmdl,,1,multiseed_economics_cmdl_seed1,ctfp,effective_labor_aware,proxy_effective_labor_anchor,-1.0,1,effective_labor_anchor,-1.0,0.1483920960867881,0.16765136420612078,-0.1483920960867881,True
CMDL,cmdl,,1,multiseed_economics_cmdl_seed1,ctfp,effective_labor_aware,proxy_effective_labor_anchor,-1.0,2,employment_level,-1.0,0.14122433165439754,0.1893690570358252,-0.14122433165439754,True
CMDL,cmdl,,1,multiseed_economics_cmdl_seed1,ctfp,effective_labor_aware,proxy_effective_labor_anchor,-1.0,3,hc_level,-1.0,-0.40824557077947243,7.867303720391475e-05,0.40824557077947243,True
CMDL,cmdl,,1,multiseed_economics_cmdl_seed1,ctfp,effective_labor_aware,proxy_effective_labor_anchor,-1.0,4,hc_trend,-1.0,-0.3219506181536403,0.00222178127634909,0.3219506181536403,True
CMDL,cmdl,,2,multiseed_economics_cmdl_seed2,ctfp,effective_labor_aware,proxy_effective_labor_anchor,-1.0,1,effective_labor_anchor,-1.0,-0.5158148709097954,2.700904336947923e-07,0.5158148709097954,True
CMDL,cmdl,,2,multiseed_economics_cmdl_seed2,ctfp,effective_labor_aware,proxy_effective_labor_anchor,-1.0,2,employment_level,-1.0,-0.5643866013877639,1.0233046815775342e-08,0.5643866013877639,True
CMDL,cmdl,,2,multiseed_economics_cmdl_seed2,ctfp,effective_labor_aware,proxy_effective_labor_anchor,-1.0,3,hc_level,-1.0,-0.3903525765207284,0.00017005852845276988,0.3903525765207284,True
CMDL,cmdl,,2,multiseed_economics_cmdl_seed2,ctfp,effective_labor_aware,proxy_effective_labor_anchor,-1.0,4,hc_trend,-1.0,0.5166073755767674,2.570761720914932e-07,-0.5166073755767674,True
