epoch,train_task_loss,train_grad_norm,val_task_loss,val_task_mae,val_task_r2
1.0,0.6951290965080261,12.070112228393555,0.2787272334098816,0.4270918784965761,-0.5186332172328428
2.0,0.23995447158813477,3.8123228549957275,0.20746752619743347,0.36352696802234274,-0.1403677357520426
3.0,0.25623077154159546,4.781973361968994,0.2308373600244522,0.3901330582029186,-0.27941336316009396
4.0,0.28704237937927246,6.16119384765625,0.18071341514587402,0.3402568865730427,0.0035579475867256517
5.0,0.22308389842510223,4.859589099884033,0.12704706192016602,0.27830955233192073,0.3088068631338719
6.0,0.14414025843143463,2.1258127689361572,0.13585685193538666,0.2884571075323038,0.2618712151591679
7.0,0.12536238133907318,1.5722532272338867,0.15814723074436188,0.3125207871128805,0.13489884273939176
8.0,0.13880695402622223,3.0387561321258545,0.14769043028354645,0.2994607234955765,0.190781450800036
9.0,0.12770794332027435,3.0064964294433594,0.11672845482826233,0.2573306367103942,0.36139941010843146
10.0,0.10249286144971848,1.713218092918396,0.09876804053783417,0.23488380783936008,0.45841524283259216
11.0,0.0916474312543869,0.5430395603179932,0.10565710067749023,0.2515309122367762,0.4163792126327956
12.0,0.10021510720252991,1.8775885105133057,0.10461597144603729,0.25168042259989304,0.4207221150663547
13.0,0.09931741654872894,1.9538618326187134,0.09260972589254379,0.23233853259822354,0.4888746828643115
14.0,0.08772251009941101,0.9371697902679443,0.08916759490966797,0.22464071890106424,0.5112356034289276
15.0,0.08643565326929092,0.8702014088630676,0.0919174924492836,0.23071201720973478,0.49767221434530634
16.0,0.09098418802022934,1.5940190553665161,0.08669500797986984,0.225974646944087,0.5268029027574027
17.0,0.08824428170919418,1.2660353183746338,0.07979921996593475,0.21878372575854882,0.5628245863163757
18.0,0.08131259679794312,0.18699246644973755,0.0821179673075676,0.2251846904284321,0.5466815570917746
19.0,0.08415985852479935,0.944426417350769,0.08337446302175522,0.22742300879908725,0.5391536118106047
20.0,0.08447391539812088,1.1192615032196045,0.08066773414611816,0.2222162045794539,0.5562654825027086
21.0,0.07936651259660721,0.49800974130630493,0.08207400888204575,0.22128376769600436,0.5510104088523559
22.0,0.07845951616764069,0.4266397953033447,0.08583787083625793,0.22531828087521716,0.5311618899814459
23.0,0.08036690205335617,0.9449285268783569,0.08451585471630096,0.223481879287865,0.5377058857921666
24.0,0.07832716405391693,0.6822237968444824,0.08163991570472717,0.22073364788433536,0.5516237482561733
25.0,0.07562204450368881,0.07972154766321182,0.08133609592914581,0.22230251172324642,0.551273758593125
26.0,0.07558947801589966,0.6385917067527771,0.08044376969337463,0.2218564671254717,0.5555813435210685
27.0,0.07513817399740219,0.7379539012908936,0.07784855365753174,0.21738766125170514,0.5707252202493426
28.0,0.07220645993947983,0.31617245078086853,0.076625756919384,0.21511946613667532,0.5783996294287111
29.0,0.07081534713506699,0.2861296236515045,0.07591182738542557,0.2141823637462221,0.5824210319682939
30.0,0.06995879858732224,0.6211110353469849,0.07288088649511337,0.21061518068192528,0.5982700186982315
31.0,0.0675855278968811,0.45328953862190247,0.0694444477558136,0.20691389756044373,0.615670253642454
32.0,0.06455489993095398,0.05543452501296997,0.06779484450817108,0.205194195357617,0.6230200361213456
33.0,0.0639914721250534,0.40302255749702454,0.06639353930950165,0.20289133256999775,0.6298194115618897
34.0,0.0626915842294693,0.49597012996673584,0.06432843208312988,0.1991136438003741,0.641491741129174
35.0,0.05894286185503006,0.17858974635601044,0.06254812330007553,0.1961040365579538,0.6521688449852405
36.0,0.05775938555598259,0.2844977080821991,0.060759153217077255,0.1937176764733158,0.6626587126415208
