scenario,method,metric,metric_label,sample_mean,sample_std,bootstrap_mean,ci_low,ci_high,n_seeds,n_boot
linear,CMDL,effective_kstar_mae,k* MAE,1.1590933338999747,0.22653588622791715,1.1600052716257812,1.064078412896395,1.2572594141483306,20,5000
linear,No AC Encoder,effective_kstar_mae,k* MAE,1.9311701111793518,0.1624627428747036,1.9313365964761735,1.8666003644287588,2.0041953501760963,20,5000
linear,No Recon Regularization,effective_kstar_mae,k* MAE,1.1592455894351004,0.22663885493323013,1.1601615222658634,1.0641244986236094,1.2574977692201732,20,5000
linear,Plain LSTM,effective_kstar_mae,k* MAE,1.7067199896275995,0.09069997118540175,1.7066430732560216,1.6687268177114425,1.745302774912119,20,5000
linear,Uniform Lag,effective_kstar_mae,k* MAE,1.9127500000000004,0.087576658149484,1.9127536,1.8747437500000002,1.95025,20,5000
linear,CMDL,effective_kstar_spearman_rho,k* Spearman rho,0.9448963369141428,0.0781031451259748,0.9448255803113341,0.9082807358609399,0.9745081120002056,20,5000
linear,No AC Encoder,effective_kstar_spearman_rho,k* Spearman rho,0.0,0.0,0.0,0.0,0.0,20,5000
linear,No Recon Regularization,effective_kstar_spearman_rho,k* Spearman rho,0.944675429487517,0.07848938054010005,0.9446049247467574,0.9081061477488379,0.9745147256588443,20,5000
linear,Plain LSTM,effective_kstar_spearman_rho,k* Spearman rho,0.35605380903921546,0.06571361750593487,0.3560209069450216,0.32896270566314173,0.3846812761051915,20,5000
linear,Uniform Lag,effective_kstar_spearman_rho,k* Spearman rho,0.0,0.0,0.0,0.0,0.0,20,5000
linear,CMDL,task_loss,Task loss,0.036237701494246724,0.004377236896432432,0.036212938639391214,0.034304507847409696,0.03809170588850975,20,5000
linear,No AC Encoder,task_loss,Task loss,0.06294642798602582,0.0054299397261184925,0.0629446207473427,0.060538495862856506,0.06524004647042601,20,5000
linear,No Recon Regularization,task_loss,Task loss,0.03632864458486438,0.004309957069943078,0.03630412924310192,0.03443217563442886,0.038169783386401826,20,5000
linear,Plain LSTM,task_loss,Task loss,0.06950349099934101,0.0028973097887135266,0.06952067313291133,0.06831080876290799,0.0708220166247338,20,5000
linear,Uniform Lag,task_loss,Task loss,0.06951228938996792,0.002694490929983822,0.0695230637075752,0.06837578092701734,0.07066626088693738,20,5000
nonlinear,CMDL,effective_kstar_mae,k* MAE,1.4669210850000383,0.248345299431584,1.4666384972115398,1.3682461418792609,1.5820711068362,20,5000
nonlinear,No AC Encoder,effective_kstar_mae,k* MAE,2.435218754291534,0.2607105009169967,2.434689000205421,2.3348404320478435,2.5522253792256118,20,5000
nonlinear,No Recon Regularization,effective_kstar_mae,k* MAE,1.4668405234217645,0.24837044784141057,1.4665590198858143,1.3680459191590546,1.5819811175093055,20,5000
nonlinear,Plain LSTM,effective_kstar_mae,k* MAE,2.6107988274991514,0.13768727640080128,2.6102598318237304,2.550181251268089,2.6676595472432667,20,5000
nonlinear,Uniform Lag,effective_kstar_mae,k* MAE,3.10175,0.09780855360291725,3.1013905999999998,3.0595,3.1415062499999995,20,5000
nonlinear,CMDL,effective_kstar_spearman_rho,k* Spearman rho,0.906987608493093,0.21239326483153564,0.9060162252450473,0.8087311611405144,0.9586174120996659,20,5000
nonlinear,No AC Encoder,effective_kstar_spearman_rho,k* Spearman rho,0.0,0.0,0.0,0.0,0.0,20,5000
nonlinear,No Recon Regularization,effective_kstar_spearman_rho,k* Spearman rho,0.9086750342012891,0.20480512658916214,0.9077385067927076,0.8138299458757319,0.9586367079210539,20,5000
nonlinear,Plain LSTM,effective_kstar_spearman_rho,k* Spearman rho,0.3439299149714061,0.09246690819380707,0.34381303867992885,0.30253409494537287,0.37933032082686396,20,5000
nonlinear,Uniform Lag,effective_kstar_spearman_rho,k* Spearman rho,0.0,0.0,0.0,0.0,0.0,20,5000
nonlinear,CMDL,task_loss,Task loss,0.037825090251863,0.0065334390880309534,0.03781114722128957,0.0353700186079368,0.04082574065309017,20,5000
nonlinear,No AC Encoder,task_loss,Task loss,0.06605810523033143,0.018423728031390873,0.06597875433865935,0.05786563589703291,0.07358073672745376,20,5000
nonlinear,No Recon Regularization,task_loss,Task loss,0.03784319031983614,0.006660112725146964,0.037829359801486134,0.0353599633416161,0.04089103554841131,20,5000
nonlinear,Plain LSTM,task_loss,Task loss,0.092683856934309,0.0060849111677203855,0.09266866392627357,0.09007039464078843,0.09520212967880069,20,5000
nonlinear,Uniform Lag,task_loss,Task loss,0.09381731562316417,0.008113678866480543,0.09381399383209646,0.09022945984266699,0.09717087926343083,20,5000
